"movieId","tag"
73268,"dystopia gore gunfights predictable blood dystopia dystopic future human harvesting immortality rebels undead vampires dystopia Ethan Hawke Willem Dafoe blood dystopia dystopic future Ethan Hawke rebels vampires vampires Willem Dafoe goofy dystopia genetics vampires dystopia genetics vampires dystopia dystopic future plague vampires australian city dystopia Ethan Hawke gore gunfights 
plague Sam Neill urban vampires Willem Dafoe dystopia Ethan Hawke human harvesting Sam Neill vampires Willem Dafoe dystopia Ethan Hawke Sam Neill vampires Willem Dafoe vampires vampires Ethan Hawke Sam Neill vampires Willem Dafoe blood cure dystopia dystopic future Ethan Hawke human harvesting immortality plague rebels starvation undead vampires Willem Dafoe dystopia blood cure dismemberment 
human harvesting immortality plague starvation undead vampires Sam Neill Willem Dafoe Sam Neill vampires dystopia scifi vampires dystopia human harvesting immortality predictable vampires"
73319,"Ireland Amy Adams boring Amy Adams boring Matthew Goode Matthew Goode Amy Adams Ireland Amy Adams Matthew Goode seen 2010 Amy Adams"
73321,"beautiful scenery Bible characters Christianity Denzel Washington dystopic future fight scenes plot holes beautiful scenery Bible books Christianity dystopia fight scenes future postapocalyptic survival thoughtprovoking twist ending visually appealing fight scenes Bible Christianity dystopia dystopic future postapocalyptic thoughtprovoking twist ending Albert Hughes Allen Hughes Denzel Washington Gary Oldman 
postapocalyptic Bible books Christianity dystopic future faith future postapocalyptic Stylistic thoughtprovoking Denzel Washington Gary Oldman Mila Kunis slow paced thoughtprovoking Bible Christianity Denzel Washington dystopic future future Mila Kunis plot holes postapocalyptic religious propaganda action Denzel Washington dystopia dystopic future future postapocalyptic Gary Oldman Bible Christianity 
future postapocalyptic twist ending Bible Christianity Denzel Washington Gary Oldman cherished artifact Gary Oldman Mila Kunis postapocalyptic postapocalyptic thoughtprovoking twist ending action Denzel Washington dystopia dystopic future future Mila Kunis postapocalyptic gary oldman mila kunis pace postapocalyptic rewatchable setting twist ending Denzel Washington Mila Kunis postapocalyptic Mila Kunis 
monochromatic postapocalyptic Denzel Washington dystopic future Gary Oldman twist ending Bible Christianity dystopic future faith future pace plot holes postapocalyptic slow paced Stylistic twist ending religious propaganda Denzel Washington postapocalyptic beautiful scenery Bible Christianity Denzel Washington dystopic future postapocalyptic religious propaganda thoughtprovoking faith Mila Kunis religious propaganda 
visually appealing Bible Christianity dystopia faith postapocalyptic religious propaganda bad ending Gary Oldman action Bible Christianity Denzel Washington Gary Oldman postapocalyptic survival thoughtprovoking violence visually appealing plot holes postapocalyptic twist ending Bible Christianity postapocalyptic Bible books Christianity dystopia dystopic future plot holes postapocalyptic bible 
Christianity inhumane religious scenery ugly Bible Christianity dystopia postapocalyptic Stylistic thoughtprovoking action beautiful scenery books Denzel Washington dystopic future Gary Oldman Mila Kunis religious propaganda slow paced twist ending slow paced 58FilmAffinity action dystopia dystopic future postapocalyptic POTESTARBE survival twist ending visually appealing Bible Christianity Denzel Washington 
fight scenes future postapocalyptic thoughtprovoking The Hughes Brothers Bible Christianity Denzel Washington dystopic future Gary Oldman postapocalyptic Bible postapocalyptic Bible christian propaganda Christianity dystopia fight scenes plot holes religion violence Denzel Washington dystopia Mila Kunis plot holes postapocalyptic Bible cannibalism Christianity community drought post war postapocalyptic 
rape implied religious survival thought provoking warlord beautiful scenery dystopia dystopic future Gary Oldman postapocalyptic visually appealing Mila Kunis postapocalyptic Stylistic beautiful scenery Denzel Washington dystopia Denzel Washington postapocalyptic beautiful scenery postapocalyptic survival thoughtprovoking twist ending visually appealing books mila kunis thought provoking twist ending badass blind man 
Bible books Christianity dystopia dystopic future genesis postapocalyptic rebuilding society thoughtprovoking twist ending Christianity Mila Kunis plot holes twist ending Bible Christianity postapocalyptic books postapocalyptic religion Bible Christianity Denzel Washington dystopia dystopic future fight scenes future Gary Oldman Mila Kunis postapocalyptic survival Denzel Washington dystopia dystopic future 
Mila Kunis rewatchable setting thoughtprovoking twist ending Christianity Denzel Washington postapocalyptic Stylistic action Bible cannibalism Christianity Denzel Washington dystopia postapocalyptic survival thoughtprovoking visually appealing action beautiful scenery Bible books Christianity Denzel Washington dystopia dystopic future future Gary Oldman Mila Kunis plot holes postapocalyptic Ray Stevenson 
religious propaganda rewatchable slow paced Stylistic thought provoking thoughtprovoking twist ending dystopia dystopic future fight scenes postapocalyptic thoughtprovoking visually appealing not available from Netflix streaming beautiful scenery Bible cannibalism Christianity thoughtprovoking Bible Christianity epiphany excessive violence revelatory violence Bible Christianity dystopia postapocalyptic slow paced 
Bible Christianity dystopia postapocalyptic Stylistic Denzel Washington postapocalyptic Stylistic thoughtprovoking Gary Oldman gun fights Kira Solis postapocalyptic St James Bible sword play Bible Christianity Gary Oldman postapocalyptic religious propaganda twist ending christian propaganda Christianity action Denzel Washington dystopia postapocalyptic survival Christianity dystopia faith postapocalyptic 
thoughtprovoking Bible Christianity Denzel Washington dystopia Gary Oldman Jennifer Beals"
73929,"Scott Stewart angels Biblical Dennis Quaid fantasy horror plot holes religion too short horror plot holes unintentionally funny apocalypse fantasy religion religion underdeveloped angel apocalyptic religion cliche pacing stupid angels better than expected Biblical Christianity Dennis Quaid horror Paul Bettany religion so bad its good underdeveloped unintentionally funny cool premise underdeveloped 
Scott Stewart based on a book Biblical Christianity religion fantasy apocalypse"
74115,"based on a poem based on a video game Demons Hell Lucifer Satan Scythe Several animation studios were involved with the film animation based on a poem made for TV"
74131,"family drama overcoming obstacles science Brendan Fraser family drama Harrison Ford overcoming obstacles science Wixom Library Brendan Fraser Keri Russell science"
74154,"chick flick set in rome Dax Shepard Jon Heder Kristen Bell Danny DeVito Josh Duhamel Danny DeVito Kristen Bell chick flick Kristen Bell chick flick Josh Duhamel Kristen Bell HOT actress"
74156,"Ray Winstone Mel Gibson Mel Gibson Ray Winstone conspiracy cover up fatherdaughter relationship Loss of child murder nuclear weapons radiation conspiracy predictable conspiracy corporate coverup cover up Mel Gibson nuclear weapons secrets Mel Gibson Mel Gibson add to prospects list"
74324,"great acting inspirational mental illness true story aspergers syndrome autism biopic inspirational animal husbandry autism biography biology biopic cattle Claire Danes college cows disability great acting inspirational made for TV mental illness science slaughter social commentary true story autism great acting inspirational true story autism biography Claire Danes genius mental illness science 
Bobola animal cruelty animal husbandry autism biography cattle Claire Danes college cows disability made for TV science slaughter toplist10 autism disability genius inspirational mental illness social commentary true story Mick Jackson Claire Danes autism Claire Danes made for TV science autism biography Claire Danes great soundtrack made for TV autism Claire Danes inspirational mental illness 
autism biography biology disability genius great acting inspirational made for TV mental illness science true story animal cruelty slaughter social commentary true story autism biography disability genius great soundtrack made for TV mental illness science autism biography biology Claire Danes great soundtrack science autism genius aspergers syndrome autism disability mental illness science 
USA Claire Danes inspirational"
74450,"comedy romance funny Jennifer Garner Jessica Alba Jessica Biel love multiple storylines Ashton Kutcher Bradley Cooper Jamie Foxx Jennifer Garner Jessica Biel Julia Roberts multiple storylines predictable Own It Anne Hathaway Anne Hathaway Ashton Kutcher Bradley Cooper Jamie Foxx Jennifer Garner Jessica Alba Jessica Biel Julia Roberts multiple storylines Taylor Swift Anne Hathaway Ashton Kutcher Bradley Cooper 
George Lopez Jamie Foxx Jennifer Garner Jessica Alba Jessica Biel Julia Roberts Anne Hathaway Jennifer Garner Jessica Biel"
74452,"Anthony Hopkins bad ending Bad remake beautiful color Benicio Del Toro excellent graphics Hugo Weaving moody atmosphere predictable stupid stupid twist Emily Blunt unmet expectations boring Emily Blunt Joe Johnston predictable stupid Anthony Hopkins bad ending Benicio Del Toro boring Emily Blunt Hugo Weaving pointless predictable stupid stupid twist Anthony Hopkins bad cgi Benicio Del Toro Hugo Weaving 
moody atmosphere pointless transformation scene werewolf boring moody atmosphere predictable Bobola KAF movie to see Wixom Library Bad remake boring pointless predictable beautiful color excellent graphics good characterization moody atmosphere predictable Anthony Hopkins bad cgi Benicio Del Toro Emily Blunt Hugo Weaving predictable Joe Johnston Anthony Hopkins Benicio Del Toro Hugo Weaving predictable Benicio Del Toro 
Anthony Hopkins beautiful color Benicio Del Toro Emily Blunt excellent graphics Hugo Weaving moody atmosphere pointless"
